,@type,address,pub_key,account_number,sequence
2525,/cosmos.auth.v1beta1.BaseAccount,terra1ll7c6mq0gsmpe9d4x2tzjjg80cqrjm6jun54sq,,1403579,0
2526,/cosmos.auth.v1beta1.BaseAccount,terra1ll7epcyq9ez64zv7wssm8l77zwp0vx93t93z8j,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A4RPf1T7P30I5RllSxPv1JBygDf3p8sWmLZepKR2kskH'}",780695,68
2527,/cosmos.auth.v1beta1.BaseAccount,terra1ll7ezjpfpccx8hrnwdyf3h55r9z0k8gg4sm8j0,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A9r69HQXlX8bIromN5iVesrWRoZRe170OKoE8EegZwEh'}",3097247,4
2528,/cosmos.auth.v1beta1.BaseAccount,terra1ll7encm350fumqmupdj9t9jxla8p5erff2vpnq,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AxJVPsZAKYmFdxi/i2iPfL8bwKvuI6BxhiBYNpN7cf7o'}",1812403,68
2529,/cosmos.auth.v1beta1.BaseAccount,terra1ll7e6gcm7z4nwqda68thdc6j82j2yk3yzspr89,,2392354,0
2530,/cosmos.auth.v1beta1.BaseAccount,terra1ll76p62q95ss5uk2e9ekpn92j9zaxehkwdlp4t,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A7FiXhUvjsthE0uiEX0tz52FWujJW0+2ieNlu/ch3aKt'}",3221244,1
2531,/cosmos.auth.v1beta1.BaseAccount,terra1ll765e9sh7hdm2fles6jfk9xd5p30ergg7tud6,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Ars1Gd5TZLHerxk7km15YV72OReZXQbVQCmJaVQXYMMr'}",2518150,2
2532,/cosmos.auth.v1beta1.BaseAccount,terra1ll767x8myj355vp4a36gsu0kgpp4q2gfrrxme8,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A5+fNdVyMbumdTZjTP/KOEG9pBXokT/GsWQVj/dsHZf8'}",2305979,1
2533,/cosmos.auth.v1beta1.BaseAccount,terra1ll7uftp585navjd9zye9gn77qsqeqytkplugn9,,1833731,0
2534,/cosmos.auth.v1beta1.BaseAccount,terra1ll7u34m87ecw560lhn3n9dpwjs85xpxsqyplnu,,780696,0
2535,/cosmos.auth.v1beta1.BaseAccount,terra1ll7uhuywgtt6svaxcs9ufqvmxdpx5dzdeqz03r,,1138913,0
2536,/cosmos.auth.v1beta1.BaseAccount,terra1ll7uc9h83qn2eknxrcz2ld5xdpt7hgsuafqlzz,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A2y28OW7CGlylTmp6Q+r1EKjvjpxzSUSq5jfzM31vOLI'}",780697,4
2537,/cosmos.auth.v1beta1.BaseAccount,terra1ll7uuhk8vdx28tnezdcfeyp6dvu4j32n7v0ekd,,904133,0
2538,/cosmos.auth.v1beta1.BaseAccount,terra1ll7uaeama2s89k5cr27xyklhxjwpscu05ld0xx,,1770723,0
2539,/cosmos.auth.v1beta1.BaseAccount,terra1ll7ulmlunv8utazchaz90ug6x7w87tethcav3p,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A0ui+ZRMT8YwrIPPWYm08Ieesaw1BTT+efSmQxPXshrf'}",2340309,1
2540,/cosmos.auth.v1beta1.BaseAccount,terra1ll7az0rv82q5z5rygc244fk7hncd9kalqucf5m,,1790915,0
2541,/cosmos.auth.v1beta1.BaseAccount,terra1ll77pmx7aew6ys9z2tg04mver8daku3lvqnlh5,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A6gGyWWRZ2mZZNpiTN9ScEF6vRuDtNDbPs9ce/fIqPNn'}",3207056,5
2542,/cosmos.auth.v1beta1.BaseAccount,terra1ll77zp7y8t3m5r7a023m96mcttupudduk2pgwh,,1363582,0
2543,/cosmos.auth.v1beta1.BaseAccount,terra1ll77tu0r560qfej4jyj8ape8dereearck2zhtx,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A85RVjO4821f4sMmsWHQ0tyroV4Tiqjlz7ar9i20Al3A'}",3342657,3
2544,/cosmos.auth.v1beta1.BaseAccount,terra1ll77vv67rqldcld2hupev3wtvtwla6xjm2xaec,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Ao7eMwtM51F4ua9wf/HsQ8oEThqyWIn5PRo1snHvcxFi'}",780698,7
2545,/cosmos.auth.v1beta1.BaseAccount,terra1ll77vlz8wqp6msherqe5s7zfg59e4tf323rwtw,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AxOnlwI/722/ZF5MZ20HBZw26K10GToJsLdrRDd2OS5e'}",3021995,5
2546,/cosmos.auth.v1beta1.BaseAccount,terra1ll77wkugjqgteddf987llx5kp69lqqdg98hhjw,,780699,0
2547,/cosmos.auth.v1beta1.BaseAccount,terra1ll7lqkxgyjhyhe8lpyc4zj5vxt3ht5czdpn7jn,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AwSxWmd2/mS6VWr+pp50lhfThcfX/wiClPgy39SVmSmq'}",780700,1
2548,/cosmos.auth.v1beta1.BaseAccount,terra1ll7lrmmcpt00tmp3hufktmknuxtrcc8sahrr44,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AqC8yZA5IFLMVAKZjxNX5Ys87t/STHX5OUGi2+YDdDDX'}",1893396,1
